año,FRic,FEve,FDis,FDiv,RaoQ,z_FRic,z_FEve,z_FDis,z_FDiv
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
2005,3.5528659318343564e-9,0.649991861635105,0.2043006484657326,0.7838415655604859,0.04503130187498394,NA,NA,NA,NA
